,Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,user_id
145,FAST,fastenalcompany,Fastenal Company (FAST),Industrials,22,7.0,8.0,7.0,109268832
146,FRT,federalrealty,Federal Realty Investment Trust (FRT),Real Estate,16,4.0,5.0,7.0,76672941
147,FDX,fedex,FedEx Corporation (FDX),Industrials,21,6.0,9.0,6.0,134887156
148,FIS,fisglobal,"Fidelity National Information Services, Inc. (FIS)",Information Technology,19,0.0,12.0,7.0,80619946
149,FITB,fifththird,Fifth Third Bancorp (FITB),Financials,27,2.0,13.0,11.0,231213589
150,FRC,firstrepublic,First Republic Bank (FRC),Financials,26,2.0,12.0,12.0,34715589
151,FISV,fiserv,"Fiserv, Inc. (FISV)",Information Technology,20,0.0,12.0,7.0,18506925
152,FLT,fleetcor,"FLEETCOR Technologies, Inc. (FLT)",Information Technology,20,0.0,12.0,8.0,1222130588469153792
153,FLS,flowserve,Flowserve Corporation (FLS),Industrials,37,11.0,19.0,7.0,134894883
154,FMC,fmccorp,FMC Corporation (FMC),Materials,37,18.0,13.0,7.0,733462130
155,F,ford,Ford Motor Company (F),Consumer Discretionary,30,9.0,10.0,10.0,15676492
156,FTNT,fortinet,"Fortinet, Inc. (FTNT)",Information Technology,22,1.0,14.0,6.0,13967482
157,FTV,fortivecorp,Fortive Corporation (FTV),Industrials,32,10.0,15.0,7.0,759118866828013569
158,FBHS,fbhs_news,"Fortune Brands Home & Security, Inc. (FBHS)",Industrials,26,14.0,4.0,8.0,384573981
159,FOXA,foxcorp,Fox Corporation (FOXA),Communication Services,50,59.0,45.0,53.0,1242854042059059204
160,GRMN,garminnews,Garmin Ltd. (GRMN),Consumer Discretionary,21,5.0,10.0,6.0,1141073531804893184
161,IT,gartner_inc,"Gartner, Inc. (IT)",Information Technology,29,0.0,20.0,9.0,15231287
162,GE,generalelectric,General Electric Company (GE),Industrials,46,15.0,19.0,12.0,267399199
163,GIS,generalmills,"General Mills, Inc. (GIS)",Consumer Staples,22,7.0,10.0,6.0,280557152
164,GM,gm,General Motors Company (GM),Consumer Discretionary,31,10.0,12.0,9.0,10850192
165,GPC,genuinepartsco,Genuine Parts Company (GPC),Consumer Discretionary,13,4.0,5.0,4.0,1092453925935034370
166,GILD,gileadsciences,"Gilead Sciences, Inc. (GILD)",Health Care,22,0.0,14.0,8.0,309728693
167,GPN,globalpayinc,Global Payments Inc. (GPN),Information Technology,22,0.0,14.0,8.0,478912243
168,GL,globelife,Globe Life Inc. (GL),Financials,27,2.0,9.0,16.0,58502355
169,GS,goldmansachs,"The Goldman Sachs Group, Inc. (GS)",Financials,32,1.0,15.0,16.0,253167239
170,GWW,grainger,"W.W. Grainger, Inc. (GWW)",Industrials,13,1.0,5.0,6.0,155541003
171,HAL,halliburton,Halliburton Company (HAL),Energy,30,11.0,11.0,8.0,288290125
172,HBI,hanesbrands,Hanesbrands Inc. (HBI),Consumer Discretionary,14,1.0,7.0,6.0,763107598451154945
173,HOG,harleydavidson,"Harley-Davidson, Inc. (HOG)",Consumer Discretionary,18,4.0,8.0,6.0,17169239
174,HIG,thehartford,"The Hartford Financial Services Group, Inc. (HIG)",Financials,21,1.0,9.0,10.0,19614674
175,HAS,hasbro,"Hasbro, Inc. (HAS)",Consumer Discretionary,13,0.0,7.0,6.0,78482616
176,HCA,hcahealthcare,"HCA Healthcare, Inc. (HCA)",Health Care,28,3.0,17.0,8.0,64481865
177,HSIC,henryschein,"Henry Schein, Inc. (HSIC)",Health Care,15,4.0,6.0,6.0,17610945
178,HES,hesscorporation,Hess Corporation (HES),Energy,32,18.0,7.0,7.0,44996346
179,HPE,hpe_news,Hewlett Packard Enterprise Company (HPE),Information Technology,17,1.0,10.0,7.0,14180249
180,HLT,hiltonhotels,Hilton Worldwide Holdings Inc. (HLT),Consumer Discretionary,21,8.0,8.0,4.0,64510593
181,HOLX,hologic,"Hologic, Inc. (HOLX)",Health Care,36,5.0,20.0,11.0,30007936
182,HRL,hormelfoods,Hormel Foods Corporation (HRL),Consumer Staples,28,11.0,12.0,5.0,12494562
183,HST,hosthotelsinc,"Host Hotels & Resorts, Inc. (HST)",Real Estate,14,4.0,5.0,6.0,973896018927419394
184,HPQ,hp,HP Inc. (HPQ),Information Technology,12,0.0,6.0,6.0,17193794
185,HUM,humana,Humana Inc. (HUM),Health Care,24,0.0,17.0,6.0,24160942
186,HBAN,huntington_bank,Huntington Bancshares Incorporated (HBAN),Financials,23,2.0,12.0,9.0,78067917
187,IEX,idexcorp,IDEX Corporation (IEX),Industrials,34,11.0,15.0,8.0,1135986667800748034
188,IDXX,idexx,"IDEXX Laboratories, Inc. (IDXX)",Health Care,28,5.0,10.0,13.0,33547339
189,INFO,ihsmarkit,IHS Markit Ltd. (INFO),Industrials,23,0.0,16.0,7.0,65739179
190,ITW,itwcareers,Illinois Tool Works Inc. (ITW),Industrials,21,5.0,10.0,6.0,575574449
191,ILMN,illumina,"Illumina, Inc. (ILMN)",Health Care,15,1.0,6.0,7.0,46145761
192,INCY,incyte,Incyte Corporation (INCY),Health Care,28,0.0,20.0,7.0,3911174913
193,INTC,intel,Intel Corporation (INTC),Information Technology,16,4.0,5.0,7.0,2803191
194,ICE,ice_markets,"Intercontinental Exchange, Inc. (ICE)",Financials,16,2.0,7.0,7.0,25570548
195,IBM,ibm,International Business Machines Corporation (IBM),Information Technology,18,0.0,10.0,7.0,18994444
196,IP,intlpaperco,International Paper Company (IP),Materials,27,17.0,4.0,5.0,1454477221
197,IPG,interpublicipg,"The Interpublic Group of Companies, Inc. (IPG)",Communication Services,16,0.0,10.0,6.0,378077984
198,IFF,iff,International Flavors & Fragrances Inc. (IFF),Materials,25,11.0,6.0,8.0,2548353648
199,INTU,intuit,Intuit Inc. (INTU),Information Technology,18,1.0,11.0,6.0,1125071
200,IVZ,invescoltd,Invesco Ltd. (IVZ),Financials,26,1.0,13.0,11.0,436817099
201,IPGP,ipgphotonics,IPG Photonics Corporation (IPGP),Information Technology,14,3.0,4.0,6.0,893144049217134593
202,IQV,iqvia_global,IQVIA Holdings Inc. (IQV),Health Care,24,2.0,15.0,8.0,727448203180822528
203,IRM,ironmountain,Iron Mountain Incorporated (IRM),Real Estate,16,6.0,4.0,6.0,21429357
204,JBHT,jbhunt360,"J.B. Hunt Transport Services, Inc. (JBHT)",Industrials,21,6.0,8.0,6.0,2528862373
205,J,jacobsconnects,Jacobs Engineering Group Inc. (J),Industrials,34,6.0,18.0,9.0,14245324
206,SJM,smuckers,The J. M. Smucker Company (SJM),Consumer Staples,27,11.0,10.0,6.0,314824715
