,Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,user_id
0,MMM,3m,3M Company (MMM),Industrials,34,12.6,12.6,8.4,378197959
1,AOS,aosmithhotwater,A. O. Smith Corporation (AOS),Industrials,32,9.5,14.9,7.6,50405635
2,ABT,abbottnews,Abbott Laboratories (ABT),Health Care,31,3.7,15.9,11.6,360054369
3,ABBV,abbvie,AbbVie Inc. (ABBV),Health Care,30,1.0,16.5,12.8,531892451
4,ACN,accenture,Accenture plc (ACN),Information Technology,15,1.0,8.2,6.3,10194682
5,ATVI,atvi_ab,"Activision Blizzard, Inc. (ATVI)",Communication Services,17,0.2,10.5,6.1,753670706311815169
6,ADBE,adobe,Adobe Inc. (ADBE),Information Technology,14,0.4,8.1,5.1,63786611
7,AAP,advanceauto,"Advance Auto Parts, Inc. (AAP)",Consumer Discretionary,13,0.1,9.1,3.7,76762658
8,AES,theaescorp,The AES Corporation (AES),Utilities,34,19.2,8.6,5.9,2541746143
9,AFL,aflac,Aflac Incorporated (AFL),Financials,24,2.1,8.0,13.6,23797083
10,A,agilent,"Agilent Technologies, Inc. (A)",Health Care,18,0.9,9.4,7.2,17278322
11,APD,airproducts,"Air Products and Chemicals, Inc. (APD)",Materials,12,6.4,1.6,3.7,109634966
12,AKAM,akamai,"Akamai Technologies, Inc. (AKAM)",Information Technology,21,1.8,11.8,7.3,19622847
13,ALB,albemarlecorp,Albemarle Corporation (ALB),Materials,37,19.7,8.9,8.7,342316270
14,ALXN,alexionpharma,"Alexion Pharmaceuticals, Inc. (ALXN)",Health Care,27,0.1,18.5,8.3,246664765
15,ALLE,allegionplc,Allegion plc (ALLE),Industrials,24,13.5,4.2,6.2,1516733046
16,ADS,alliancedata,Alliance Data Systems Corporation (ADS),Information Technology,17,0.1,10.7,6.1,30875335
17,LNT,alliantenergy,Alliant Energy Corporation (LNT),Utilities,35,18.5,10.1,6.8,14777626
18,ALL,allstate,The Allstate Corporation (ALL),Financials,21,1.5,8.6,11.3,14275290
19,GOOGL,alphabetlnc,Alphabet Inc. (GOOGL),Communication Services,30,0.9,15.9,12.8,3311858486
20,MO,altrianews,"Altria Group, Inc. (MO)",Consumer Staples,25,6.3,12.9,5.9,267893832
21,AMZN,amazon,"Amazon.com, Inc. (AMZN)",Consumer Discretionary,31,5.8,13.7,11.0,20793816
22,AAL,americanair,American Airlines Group Inc. (AAL),Industrials,30,11.0,14.0,5.0,22536055
23,AEP,aepnews,"American Electric Power Company, Inc. (AEP)",Utilities,31,16.0,9.0,6.0,41377904
24,AXP,americanexpress,American Express Company (AXP),Financials,22,0.0,12.0,10.0,42712551
25,AIG,aiginsurance,"American International Group, Inc. (AIG)",Financials,29,2.0,12.0,16.0,126118683
26,REIT,americantowerus,American Tower Corporation (REIT) (AMT),Real Estate,18,6.0,7.0,6.0,1254843498479616003
27,AWK,amwater,"American Water Works Company, Inc. (AWK)",Utilities,29,13.0,10.0,6.0,25565709
28,ABC,healthcare_abc,AmerisourceBergen Corporation (ABC),Health Care,18,3.0,9.0,6.0,288863891
29,AME,ametekinc,"AMETEK, Inc. (AME)",Industrials,29,9.0,12.0,8.0,256996215
30,AMGN,amgen,Amgen Inc. (AMGN),Health Care,23,0.0,16.0,7.0,28436760
31,APH,amphenol,Amphenol Corporation (APH),Information Technology,24,10.0,6.0,8.0,1577735078
32,ADI,adi_news,"Analog Devices, Inc. (ADI)",Information Technology,26,11.0,8.0,8.0,37722624
33,ANSS,ansys,"ANSYS, Inc. (ANSS)",Information Technology,16,1.0,10.0,5.0,33647963
34,ANTM,antheminc,"Anthem, Inc. (ANTM)",Health Care,17,0.0,10.0,6.0,435302260
35,AON,aon_plc,Aon Plc (AON),Financials,23,0.0,10.0,12.0,22152077
36,AIV,aimcoapts,Apartment Investment and Management Company (AIV),Real Estate,19,7.0,5.0,6.0,37070250
37,AAPL,apple,Apple Inc. (AAPL),Information Technology,24,1.0,13.0,10.0,380749300
38,AMAT,applied4tech,"Applied Materials, Inc. (AMAT)",Information Technology,17,5.0,5.0,6.0,64784531
39,APTV,aptiv,Aptiv PLC (APTV),Consumer Discretionary,19,4.0,8.0,8.0,815759221
40,ADM,admupdates,Archer-Daniels-Midland Company (ADM),Consumer Staples,35,16.0,14.0,6.0,358252545
41,ANET,aristanetworks,"Arista Networks, Inc. (ANET)",Information Technology,20,1.0,10.0,9.0,57422003
42,AJG,gallagherglobal,Arthur J. Gallagher & Co. (AJG),Financials,25,0.0,11.0,14.0,123675833
43,AIZ,assurant,"Assurant, Inc. (AIZ)",Financials,26,1.0,11.0,14.0,600986080
44,T,att,AT&T Inc. (T),Communication Services,19,2.0,11.0,6.0,14620190
45,ATO,atmosenergy,Atmos Energy Corporation (ATO),Utilities,35,14.0,14.0,7.0,29976734
46,ADSK,autodesk,"Autodesk, Inc. (ADSK)",Information Technology,20,1.0,13.0,6.0,31957731
47,ADP,adp,"Automatic Data Processing, Inc. (ADP)",Information Technology,15,0.0,8.0,6.0,19992977
48,AZO,autozone,"AutoZone, Inc. (AZO)",Consumer Discretionary,12,0.0,8.0,4.0,278221207
49,AVB,avalonbay,"AvalonBay Communities, Inc. (AVB)",Real Estate,13,4.0,4.0,5.0,15928324
50,AVY,averydennison,Avery Dennison Corporation (AVY),Materials,19,13.0,2.0,4.0,166042524
51,BLL,ballcorphq,Ball Corporation (BLL),Materials,15,9.0,1.0,4.0,22986858
52,BAC,bankofamerica,Bank of America Corporation (BAC),Financials,28,2.0,16.0,10.0,204881628
53,BAX,baxter_intl,Baxter International Inc. (BAX),Health Care,29,3.0,17.0,9.0,46511103
54,BBY,bestbuy,"Best Buy Co., Inc. (BBY)",Consumer Discretionary,12,2.0,5.0,5.0,17475575
55,BIIB,biogen,Biogen Inc. (BIIB),Health Care,23,0.0,15.0,8.0,155650832
56,BA,boeing,The Boeing Company (BA),Industrials,39,8.0,21.0,10.0,25103967
57,BKNG,bookingholdings,Booking Holdings Inc. (BKNG),Consumer Discretionary,19,4.0,9.0,6.0,4705763776
58,BWA,borgwarner,BorgWarner Inc. (BWA),Consumer Discretionary,24,5.0,11.0,8.0,2840393289
59,BXP,bxpboston,"Boston Properties, Inc. (BXP)",Real Estate,14,4.0,5.0,5.0,867455207776636928
60,BSX,bostonsci,Boston Scientific Corporation (BSX),Health Care,36,3.0,20.0,12.0,214210756
61,BMY,bmsnews,Bristol-Myers Squibb Company (BMY),Health Care,28,1.0,16.0,11.0,34010976
62,AVGO,broadcom,Broadcom Inc. (AVGO),Information Technology,26,9.0,8.0,9.0,338504881
63,BR,broadridge,"Broadridge Financial Solutions, Inc. (BR)",Information Technology,20,0.0,12.0,8.0,15069827
64,CHRW,chrobinson,"C.H. Robinson Worldwide, Inc. (CHRW)",Industrials,26,7.0,13.0,6.0,259440099
65,COG,cabotog,Cabot Oil & Gas Corporation (COG),Energy,50,24.0,16.0,10.0,317777055
66,CDNS,cadence,"Cadence Design Systems, Inc. (CDNS)",Information Technology,17,1.0,10.0,6.0,18793792
67,CPB,campbellsoupco,Campbell Soup Company (CPB),Consumer Staples,24,9.0,10.0,5.0,37008048
68,COF,capitalone,Capital One Financial Corporation (COF),Financials,26,0.0,16.0,10.0,364477412
69,CAH,cardinalhealth,"Cardinal Health, Inc. (CAH)",Health Care,14,2.0,8.0,5.0,256225105
70,KMX,carmax,"CarMax, Inc. (KMX)",Consumer Discretionary,14,0.0,9.0,5.0,7023592
71,CCL,carnivalplc,Carnival Corporation & Plc (CCL),Consumer Discretionary,22,9.0,9.0,4.0,2798188974
72,CAT,caterpillarinc,Caterpillar Inc. (CAT),Industrials,38,7.0,21.0,10.0,15101714
73,CBOE,cboe,"Cboe Global Markets, Inc. (CBOE)",Financials,22,3.0,9.0,9.0,16827489
74,CE,celanese,Celanese Corporation (CE),Materials,30,15.0,8.0,8.0,263650295
75,CNP,centerpoint,"CenterPoint Energy, Inc. (CNP)",Utilities,32,14.0,12.0,6.0,121181792
76,CTL,centurylink,"CenturyLink, Inc. (CTL)",Communication Services,26,5.0,13.0,8.0,44182242
77,CERN,cerner,Cerner Corporation (CERN),Health Care,20,0.0,13.0,7.0,34710922
78,SCHW,charlesschwab,The Charles Schwab Corporation (SCHW),Financials,27,2.0,11.0,14.0,132703700
79,CHTR,charternewsroom,"Charter Communications, Inc. (CHTR)",Communication Services,20,2.0,9.0,8.0,121165704
80,CVX,chevron,Chevron Corporation (CVX),Energy,40,18.0,12.0,10.0,21021891
81,CMG,chipotletweets,"Chipotle Mexican Grill, Inc. (CMG)",Consumer Discretionary,25,4.0,15.0,6.0,141341662
82,CI,cigna,Cigna Corporation (CI),Health Care,63,76.0,53.0,67.0,37687077
83,CTAS,cintascorp,Cintas Corporation (CTAS),Industrials,25,5.0,12.0,7.0,17908262
